,name,categories,address,cc,city,country,crossStreet,distance,formattedAddress,labeledLatLngs,lat,lng,state,id
21,Linq,Bar,37 Pottinger St,HK,香港,香港,,478,"['37 Pottinger St', '香港']","[{'label': 'display', 'lat': 22.282249, 'lng': 114.154683}]",22.282249,114.154683,,5b933a98c62b49002c3a3d76
22,Ten-musubi (天御結),Japanese Restaurant,"Shop 1065, 1/F, IFC, 1 Harbour View St",HK,中区,香港,,177,"['Shop 1065, 1/F, IFC, 1 Harbour View St', '香港']","[{'label': 'display', 'lat': 22.284856002953557, 'lng': 114.15925760851489}]",22.284856002953557,114.15925760851489,,565bfd27498ef1a0d7305429
23,Theory,Boutique,"Theory IFC. Shop 1052A, IFC Mall International Finance Center 8 Finance Street, Central Hong Kong",HK,,香港,,55,"['Theory IFC. Shop 1052A, IFC Mall International Finance Center 8 Finance Street, Central Hong Kong', '香港']","[{'label': 'display', 'lat': 22.285072, 'lng': 114.157456}]",22.285072,114.157456,,5438cd8b498eaaadad33abb6
24,Le Metier de Beaute,Cosmetics Shop,"@ JOYCE, Lane Crawford, IFC Mall",HK,Hong Kong,香港,at Man Cheung St,57,"['@ JOYCE, Lane Crawford, IFC Mall (at Man Cheung St)', 'China', '香港']","[{'label': 'display', 'lat': 22.28599909864546, 'lng': 114.15790557861328}]",22.28599909864546,114.15790557861328,China,4c811057309aef3b4c50b981
25,Tsui Wah Restaurant (翠華餐廳),Cha Chaan Teng,84-86 Des Voeux Rd C,HK,中環,香港,at Jubilee St,228,"['84-86 Des Voeux Rd C (at Jubilee St)', '中西區', '香港']","[{'label': 'display', 'lat': 22.284521739226633, 'lng': 114.15574882844942}]",22.284521739226633,114.15574882844942,中西區,4b45e561f964a520e31126e3
26,J.Crew,Clothing Store,"Shops 1026-1028, ifc mall, 8 Finance Street,",HK,香港,香港,,53,"['Shops 1026-1028, ifc mall, 8 Finance Street,', '香港']","[{'label': 'display', 'lat': 22.285040272255934, 'lng': 114.15763266384602}]",22.285040272255934,114.15763266384602,,537d8342498e4aedc8192683
27,Ecco,Shoe Store,"Shop 1036, IFC Mall, 8 Finance St",HK,中環,香港,,42,"['Shop 1036, IFC Mall, 8 Finance St', '中西區', '香港']","[{'label': 'display', 'lat': 22.28589882593484, 'lng': 114.15763429462305}]",22.28589882593484,114.15763429462305,中西區,50d66f17e4b0cc2e8055d074
28,Furla,Accessories Store,,HK,,香港,,46,['香港'],"[{'label': 'display', 'lat': 22.285468654621795, 'lng': 114.15813359049152}]",22.285468654621795,114.15813359049152,,4d803e0e360b224b89cfd656
29,7-Eleven,Convenience Store,"Shop HOK-23A, MTR Hong Kong Station",HK,中環,香港,,57,"['Shop HOK-23A, MTR Hong Kong Station', '中西區', '香港']","[{'label': 'display', 'lat': 22.28505655349031, 'lng': 114.15744850997068}]",22.28505655349031,114.15744850997068,中西區,533b579e498e94f7b2c0ba89
0,Izakaya Masuya,Japanese Restaurant,"Ground Floor, 12-14 O'Connell St",AU,Sydney,Australia,,13,"[""Ground Floor, 12-14 O'Connell St"", 'Sydney NSW 2000', 'Australia']","[{'label': 'display', 'lat': -33.86519507981446, 'lng': 151.209766255503}]",-33.86519507981446,151.209766255503,NSW,5382b890498ef9ed051316ba
