id,rating,ratingSignals,likes.count,listed.count,photos.count,price.tier,tips.count,page.user.tips.count,lat,lng,price.message_Cheap,price.message_Expensive,price.message_Moderate,price.message_Very Expensive,categories_Bar,categories_Beer Bar,categories_Bistro,categories_Café,categories_Cantonese Restaurant,categories_Chinese Restaurant,categories_Church,categories_City Hall,categories_Cocktail Bar,categories_Coffee Shop,categories_Cosmetics Shop,categories_Department Store,categories_Electronics Store,categories_French Restaurant,categories_Fried Chicken Joint,categories_German Restaurant,categories_Hotel,categories_Japanese Restaurant,categories_Movie Theater,categories_Multiplex,categories_Park,categories_Pedestrian Plaza,categories_Pizza Place,categories_Plaza,categories_Post Office,categories_Restaurant,categories_Salon / Barbershop,categories_Shoe Store,categories_Shopping Mall,categories_Soba Restaurant,categories_Souvenir Shop,categories_Spanish Restaurant,categories_Steakhouse,categories_Supermarket,categories_Track Stadium,categories_Train Station,categories_Vegetarian / Vegan Restaurant,categories_Vietnamese Restaurant,categories_Women's Store,cc_AU,cc_FR,cc_GB,cc_HK,cc_JP,cc_US
4bb08355f964a52025493ce3,5.8,5.0,1,10,9,1.962962962962963,2,2166.4,48.857139624045324,2.351720996488165,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4adcda09f964a520e83321e3,9.4,9622.0,8557,4715,18935,1.962962962962963,966,1007.0,48.85312443201169,2.3495614528656006,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4bbf498ab083a593a620a3e9,6.5,77.0,43,8,86,1.962962962962963,20,2166.4,48.856231534459624,2.350842634876193,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4bf691a892d19521f9d3591f,6.8,13.0,9,15,1,1.962962962962963,4,2166.4,48.85771818004514,2.3513799905776978,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
5361075a498ea34171cb06ca,8.1,19.0,14,34,67,1.962962962962963,3,1007.0,48.85695052578769,2.3529142141342163,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4b89512ff964a520192b32e3,5.7,10.0,4,0,5,1.962962962962963,2,2166.4,48.85739234685534,2.3514915485719325,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5acb4fe9851de554affcffb5,6.5,10.0,6,6,9,2.0,0,2166.4,51.50997074891439,-0.11813262023081302,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4beaeefc415e20a16aa8e5bb,6.8,56.0,37,24,31,3.0,12,2166.4,51.510488309663536,-0.11688329174401799,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
54874894498e3a15c87906e8,7.4,49.0,31,26,16,2.0,9,2166.4,51.51068631814778,-0.11865904363236512,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4b141334f964a520de9c23e3,9.2,1184.0,997,361,791,1.962962962962963,170,2166.4,51.50483276092552,-0.1135050202203729,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
